,Song,Artist,Brand,Streams
0,SICKO MODE,Travis Scott,Louis Vuitton,550670975.0
1,Better Now,Post Malone,Hennessey,466141747.0
2,Robbery,Juice WRLD,Hennessey,330679687.0
3,7 rings,Ariana Grande,Tiffany,270151652.0
4,Truth Hurts,Lizzo,Dom Perignon,246878029.0
5,In My Feelings,Drake,Hennessey,217331271.0
6,hot girl bummer,​blackbear,Birkin,216439692.0
7,rockstar,Post Malone,Hennessey,204743733.0
8,EARFQUAKE,"Tyler, The Creator",Tiffany,186353397.0
9,Portland,Drake,Hennessey,141892961.0
10,Mine,Bazzi,Hennessey,141641592.0
11,Ransom,Lil Tecca,Louis Vuitton,140830297.0
12,Ransom,Lil Tecca,Fendi,140830297.0
13,Ransom,Lil Tecca,Louis Vuitton,140830297.0
14,LOYALTY. FEAT. RIHANNA.,Genius Brasil Traduções,Dom Perignon,135651115.0
15,VIBEZ,DaBaby,Louis Vuitton,129827087.0
16,One Dance,Drake,Hennessey,128921515.0
17,YOSEMITE,Travis Scott,Louis Vuitton,126577847.0
18,Suicidal,YNW Melly,Hennessey,116217712.0
19,What You Know Bout Love,Pop Smoke,Fendi,105805440.0
20,Dior,Pop Smoke,Christian dior,101899102.0
21,Dior,Pop Smoke,Christian dior,101899102.0
22,Plug Walk,Rich The Kid,Louis Vuitton,95193697.0
23,Plug Walk,Rich The Kid,Hennessey,95193697.0
24,PTSD,G Herbo,Tiffany,94910479.0
25,Narcos,Migos,Fendi,93569263.0
26,Narcos,Migos,Hermes,93569263.0
27,SUGAR,BROCKHAMPTON,Dom Perignon,89803980.0
28,All Mine,Kanye West,Christian dior,81529847.0
29,Old Town Road - Remix,Lil Nas X,Fendi,77948898.0
30,That Way - Bonus Track,Poggers,Louis Vuitton,77768489.0
31,That Way - Bonus Track,Poggers,Christian dior,77768489.0
32,That Way - Bonus Track,Poggers,Hennessey,77768489.0
33,That Way - Bonus Track,Poggers,Dom Perignon,77768489.0
34,That Way - Bonus Track,Poggers,Givenchy,77768489.0
35,That Way - Bonus Track,Poggers,Louis Vuitton,77768489.0
36,MotorSport,"Migos, Nicki Minaj & Cardi B",Givenchy,75011244.0
37,No Heart,21 Savage & Metro Boomin,Louis Vuitton,74365516.0
38,Hot Shower,Chance the Rapper,Louis Vuitton,72325879.0
39,Hot Shower,Chance the Rapper,Christian dior,72325879.0
40,Woah,Lil Baby,Birkin,70310255.0
41,"How Far I'll Go - From ""Moana""",Genius,Louis Vuitton,68279647.0
42,"How Far I'll Go - From ""Moana""",Genius,Christian dior,68279647.0
43,"How Far I'll Go - From ""Moana""",Genius,Christian dior,68279647.0
44,"How Far I'll Go - From ""Moana""",Genius,Marc jacob,68279647.0
45,DÁKITI,Bad Bunny & Jhay Cortez,Louis Vuitton,64191262.0
46,DÁKITI,Bad Bunny & Jhay Cortez,Louis Vuitton,64191262.0
47,Juice,Lizzo,Louis Vuitton,62831473.0
48,Juice,Lizzo,Lv,62831473.0
49,Act Up,City Girls,Birkin,59153300.0
50,My Type,Saweetie,Hennessey,55619700.0
51,A Holly Jolly Christmas - Single Version,Lauren Daigle,Louis Vuitton,54757109.0
52,Calling My Spirit,Kodak Black,Hennessey,54725519.0
53,Calling My Spirit,Kodak Black,Hennessey,54725519.0
54,Calling My Spirit,Kodak Black,Hublot,54725519.0
55,Yo Perreo Sola,Bad Bunny,Louis Vuitton,53629009.0
56,Yo Perreo Sola,Bad Bunny,Louis Vuitton,53629009.0
57,Good Days,SZA,Marc jacob,53252103.0
58,Over Now,Post Malone,Christian dior,49765193.0
59,Over Now,Post Malone,Christian dior,49765193.0
60,Side To Side,Ariana Grande,Tiffany,49617368.0
61,Splashin,Rich The Kid,Fendi,47677608.0
62,CITY OF ANGELS,24kGoldn,Hennessey,44792585.0
63,Love Scars,Trippie Redd,Hennessey,43322240.0
64,PRACTICE,DaBaby,Fendi,42192222.0
65,Mob Ties,Drake,Louis Vuitton,41845522.0
66,Kamikaze,Lil Mosey,Louis Vuitton,41580400.0
67,Rubbin off the Paint,YBN Nahmir,Christian dior,41227586.0
68,Vete,Bad Bunny,Christian dior,40152133.0
69,Lo Mein,Lil Uzi Vert,Louis Vuitton,40136769.0
70,Conversations,Juice WRLD,Louis Vuitton,39962306.0
71,Conversations,Juice WRLD,Christian dior,39962306.0
72,Conversations,Juice WRLD,Givenchy,39962306.0
73,Free Smoke,Drake,Dom Perignon,39725206.0
74,Fast,Juice WRLD,Christian dior,38230937.0
75,champagne problems,Taylor Swift,Dom Perignon,37307724.0
76,Chun-Li,Nicki Minaj,Fendi,36457040.0
77,That's a Rack,Lil Uzi Vert,Christian dior,36193988.0
78,That's a Rack,Lil Uzi Vert,Fendi,36193988.0
79,Slime Belief,YoungBoy Never Broke Again,Christian dior,35124161.0
80,STOOPID,6ix9ine,Hennessey,34283653.0
81,Some Way,NAV,Hennessey,34225988.0
82,Black & White,Juice WRLD,Hennessey,33465662.0
83,Money Trees,Kendrick Lamar,Louis Vuitton,33168806.0
84,Futsal Shuffle 2020 - Bonus Track,Spotify,Louis Vuitton,31614158.0
85,Drankin N Smokin,Future & Lil Uzi Vert,Lv,31227250.0
86,Rubbin Off The Paint,YBN Nahmir,Christian dior,30934679.0
87,the last great american dynasty,Taylor Swift,Louis Vuitton,29929772.0
88,Broke In A Minute,Tory Lanez,Fendi,29262214.0
89,Broke In A Minute,Tory Lanez,Givenchy,29262214.0
90,Santa Baby,Ariana Grande,Tiffany,28205359.0
91,Just Hold On,Steve Aoki & Louis Tomlinson,Louis Vuitton,27906694.0
92,Project Dreams,Marshmello & Roddy Ricch,Louis Vuitton,27352908.0
93,Baby Birkin,Gunna,Birkin,26112669.0
94,Isis,Joyner Lucas,Louis Vuitton,25219282.0
95,Isis,Joyner Lucas,Louis Vuitton,25219282.0
96,Little Saint Nick - 1991 Remix,Genius,Louis Vuitton,25055501.0
97,Little Saint Nick - 1991 Remix,Genius,Christian dior,25055501.0
98,Little Saint Nick - 1991 Remix,Genius,Hennessey,25055501.0
99,Little Saint Nick - 1991 Remix,Genius,Marc jacob,25055501.0
100,Who Do You Love,The Chainsmokers & 5 Seconds of Summer,Fendi,24532118.0
101,Take You Dancing,Jason Derulo,Louis Vuitton,24211701.0
102,TIC TOC,6ix9ine,Lv,23505497.0
103,Six Feet Under,The Weeknd,Louis Vuitton,21964113.0
104,Six Feet Under,The Weeknd,Louis Vuitton,21964113.0
105,Rockin' Around The Christmas Tree - Single Version,Lauren Daigle,Louis Vuitton,20613453.0
106,OOOUUU,Young M.A,Hennessey,20491230.0
107,OOOUUU,Young M.A,Hennessey,20491230.0
108,Self Control,YoungBoy Never Broke Again,Christian dior,20258704.0
109,Guatemala - From Swaecation,Gerald Haywood,Louis Vuitton,19684443.0
110,Guatemala - From Swaecation,Gerald Haywood,Marc jacob,19684443.0
